id,dataset_id,description,description_chinese,translation_status,translation_error
269,ieso_zonal_load_forecast_hourly,"Hourly load forecast by zone for the Independent Electricity System Operator (IESO) in Ontario. Values are reported for all of *Ontario*, as well as the individual regions *Southeast*, *Southwest*, *Northwest*, and *Northeast*. 

Before implementation of the Market Renewal Program, IESO only reported values for *East*, *West*, and *Ontario*. For historical data prior to the MRP, see this [dataset](https://www.gridstatus.io/datasets/ieso_zonal_load_forecast_hourly_pre_market_renewal). 

This report is updated twice daily, morning and afternoon.

","安大略省独立电力系统运营商（IESO）按区域划分的小时级负荷预测。报告的数值覆盖整个 安大略省 以及各个区域：东南部、西南部、西北部 和 东北部。

在市场更新计划实施之前，IESO仅报告 东部、西部 和 安大略省 的数值。如需市场更新计划之前的历史数据，请参阅此 数据集。

此报告每日更新两次，分为上午和下午。",done,
270,ieso_zonal_load_forecast_hourly_pre_market_renewal,"Hourly load forecast by zone for the Independent Electricity System Operator (IESO) in Ontario. Values are reported for *Ontario*, *East*, and *West*. 

⚠️ Following the implementation of IESO's Market Renewal Program this report is no longer updated and exists for historical data only. [See the new source here](https://www.gridstatus.io/datasets/ieso_zonal_load_forecast_hourly). ","安大略省独立电力系统运营商（IESO）按区域划分的小时级负荷预测。报告的数值覆盖 安大略省、东部 和 西部。

⚠️ 随着IESO市场更新计划的实施，此报告已不再更新，仅作为历史数据留存。点击此处查看新数据源。",done,
271,isone_ancillary_services_strike_prices_day_ahead,Day-ahead strike prices and close-out components for ISO-NE. Includes the forecasted hourly Hub RT percentile values and load forecast.,ISO-NE（新英格兰独立系统运营商）的日前执行价格和结算分量。包含预测的小时级枢纽实时价格百分位数和负荷预测。,done,
272,isone_binding_constraints_day_ahead_hourly,"Hourly, day-ahead binding constraints in ISO-NE.",ISO-NE（新英格兰独立系统运营商）的小时级日前绑定约束。,done,
273,isone_binding_constraints_final_real_time_15_min,"Final, fifteen-minute preliminary binding constraints in ISO-NE published after the market day. 

Final binding constraint data is typically published in the afternoon of the next business day following the market day.","ISO-NE（新英格兰独立系统运营商）在市场日后发布的最终十五分钟初步绑定约束。

最终绑定约束数据通常在运行日后的下一个工作日下午发布。",done,
274,isone_binding_constraints_final_real_time_5_min,"Real-time, five-minute final binding constraints in ISO-NE, published after the market day. 

Final binding constraint data is typically published in the afternoon of the next business day following the market day.","ISO-NE（新英格兰独立系统运营商）在市场日后发布的实时五分钟最终绑定约束。

最终绑定约束数据通常在运行日后的下一个工作日下午发布。",done,
275,isone_binding_constraints_preliminary_real_time_15_min,"Preliminary, fifteen-minute preliminary binding constraints in ISO-NE, published during the market day. 

Final binding constraint data is typically published in the afternoon of the next business day following the market day.","ISO-NE（新英格兰独立系统运营商）在运行日期间发布的初步十五分钟绑定约束。

最终绑定约束数据通常在运行日后的下一个工作日下午发布。",done,
276,isone_binding_constraints_preliminary_real_time_5_min,"Real-time, five-minute preliminary binding constraints in ISO-NE published during the market day. 

Final binding constraint data is typically published in the afternoon of the next business day following the market day.","ISO-NE（新英格兰独立系统运营商）在运行日期间发布的实时五分钟初步绑定约束。

最终绑定约束数据通常在运行日后的下一个工作日下午发布。",done,
277,isone_btm_solar,"BTM Solar derived from data reported by ISO-NE.

Notes:
* Data is missing for 2021-11-17","基于ISO-NE（新英格兰独立系统运营商）报告数据推导得出的表后（BTM）太阳能发电数据。

注：
* 2021年11月17日的数据缺失。",done,
278,isone_capacity_forecast_7_day,"Forecast published by ISO-NE each morning for the next 7 days. This forecast includes a number of factors related to possible capacity deficiencies in New England, such as local temperatures, available capacity, and peak demand.",ISO-NE（新英格兰独立系统运营商）每天上午发布的未来7天预测。该预测包含与新英格兰地区可能出现的容量不足相关的多个因素，例如当地温度、可用容量和峰值需求。,done,
279,isone_cleared_load_day_ahead_hourly,"Cleared Day Ahead Market Hourly Demand by load zone, published by the ISO.


Latest data is typically available for tomorrow, once Day Ahead supply is scheduled. See Realtime Hourly Demand for the actual historical recorded demand. Load is given in MW. 

The locations are ISO-NE's load zones as well as the internal hub and NEPOOL as a whole:
* .Z.MAINE
* .Z.NEWHAMPSHIRE
* .Z.VERMONT
* .Z.RHODEISLAND
* .Z.CONNECTICUT
* .Z.WCMASS
* .Z.SEMASS
* .Z.NEMASSBOST
* NEPOOL AREA
* .H.INTERNALHUB

The three zones with MASS represent regions within Massachusetts, the highest demand region within New England. The Internal Hub is a comprised of a collection of nodes in central New England with very little congestion, so its values can be quite different from load zones.","ISO-NE（新英格兰独立系统运营商）发布的按负荷区划分的日前市场出清小时需求。

最新数据通常适用于明日（一旦日前供电安排确定）。实际历史记录需求请参阅实时小时需求。负荷单位为兆瓦。

位置包括ISO-NE的负荷区、内部枢纽以及整个NEPOOL区域：
* .Z.MAINE（缅因）
* .Z.NEWHAMPSHIRE（新罕布什尔）
* .Z.VERMONT（佛蒙特）
* .Z.RHODEISLAND（罗德岛）
* .Z.CONNECTICUT（康涅狄格）
* .Z.WCMASS（麻省西部）
* .Z.SEMASS（麻省东南部）
* .Z.NEMASSBOST（麻省东部/波士顿）
* NEPOOL AREA（新英格兰地区）
* .H.INTERNALHUB（内部枢纽）

名称中包含MASS的三个区域代表马萨诸塞州内的分区，该州是新英格兰地区需求最高的区域。内部枢纽由新英格兰中部一组阻塞很小的节点构成，因此其数值可能与负荷区有显著差异。",done,
280,isone_external_flows_5_min,"
This dataset contains 5 minute flow levels at interfaces between ISO-NE and neighboring balancing authorities. This dataset also contains both import and export limits for each interface as well as total import and export limits for the ISO. 

Interfaces by neighboring region:

- Hydro-Québec (HQ):
    - .I.HQHIGATE120 2
    - .I.HQ_P1_P2345 5
    - .I.HQMRL_RD345 1
- New York ISO (NYISO)
    - .I.NRTHPORT138 5
    - .I.ROSETON 345 1
    - .I.SHOREHAM138 99
- New Brunswick (NB)
    - .I.SALBRYNB345 1.","该数据集包含ISO-NE（新英格兰独立系统运营商）与相邻平衡区域之间联络线的5分钟潮流水平。该数据集还包含每个联络线的进出口限值以及ISO的总进出口限值。

按相邻区域划分的接口：

- 魁北克水电公司（HQ）：
 - .I.HQHIGATE120 2
 - .I.HQ_P1_P2345 5
 - .I.HQMRL_RD345 1
- 纽约ISO（NYISO）
 - .I.NRTHPORT138 5
 - .I.ROSETON 345 1
 - .I.SHOREHAM138 99
- 新不伦瑞克省（NB）
 - .I.SALBRYNB345 1。",done,
281,isone_fcm_reconfiguration_annual,"Annual Reconfiguration Auction (ARA) results for ISO-NE's Forward Capacity market.

Resources can utilize reconfiguration auctions to modify their capacity supply obligations (CSOs) for the CCP (capacity commitment period).","ISO-NE（新英格兰独立系统运营商）远期容量市场年度重组拍卖（ARA）的结果。

资源可以利用重组拍卖来修改其在CCP（容量承诺期）内的容量供应义务（CSOs）。",done,
282,isone_fcm_reconfiguration_monthly,Monthly reconfiguration auction results for ISO-NE's Forward Capacity market.,ISO-NE（新英格兰独立系统运营商）远期容量市场的月度重组拍卖结果。,done,
283,isone_fuel_mix,Fuel Mix for ISO-NE resampled to 5 minute intervals.,重采样至5分钟间隔的ISO-NE（新英格兰独立系统运营商）燃料结构数据。,done,
284,isone_interchange_15_min,15 minute net interchange levels between ISO-NE and and the New York ISO (NYISO) at the Roseton interface. ISO-NE and NYISO manage this interface via Coordinated Transaction Scheduling (CTS). CTS interfaces enable enhanced scheduling by coordinating economic clearing of transactions at the interface while eliminating certain fees. This improves the efficiency of trades between the regions. ,ISO-NE（新英格兰独立系统运营商）与纽约ISO（NYISO）在罗塞顿联络线处的15分钟净交换电量水平。ISO-NE和NYISO通过协调交易调度（CTS）管理此联络线。CTS接口通过协调接口处交易的经济出清并免除某些费用，实现了增强的调度功能，从而提高了区域间交易的效率。,done,
285,isone_interchange_hourly,"This dataset contains the hourly net level of flows between ISO-NE and neighboring balancing authorities. Sale represents the number of MWs flowing out of New England and Purchase represents flows into New England, with the actual interchange being the combination of the two. Negative values indicate imports and positive values indicate exports.

Interfaces by neighboring region:

- Hydro-Québec (HQ):
    - .I.HQHIGATE120 2
    - .I.HQ_P1_P2345 5
    - .I.HQMRL_RD345 1
- New York ISO (NYISO)
    - .I.NRTHPORT138 5
    - .I.NRTHPORT138 5
    - .I.ROSETON 345 1
    - .I.SHOREHAM138 99
- New Brunswick (NB)
    - .I.SALBRYNB345 1.","该数据集包含ISO-NE（新英格兰独立系统运营商）与相邻平衡区域之间的小时级净交换潮流水平。售电（Sale）表示流出新英格兰的兆瓦数，购电（Purchase）表示流入新英格兰的兆瓦数，实际交换值为两者的组合。负值表示进口，正值表示出口。

按相邻区域划分的接口：

- 魁北克水电公司（HQ）：
 - .I.HQHIGATE120 2
 - .I.HQ_P1_P2345 5
 - .I.HQMRL_RD345 1
- 纽约ISO（NYISO）
 - .I.NRTHPORT138 5
 - .I.NRTHPORT138 5
 - .I.ROSETON 345 1
 - .I.SHOREHAM138 99
- 新不伦瑞克省（NB）
 - .I.SALBRYNB345 1。",done,
286,isone_lmp_dart_5_min,DART spread in ISO-NE between day-ahead hourly LMPs and real-time 5-minute LMPs. Hourly day-ahead values are brought to a 5-minute interval across the hour for the purposes of this dataset.,ISO-NE（新英格兰独立系统运营商）中日前小时级LMP（节点边际电价）与实时5分钟LMP之间的DART（日前与实时价差）价差。在本数据集中，小时日前电价数值在该小时内被转换为5分钟间隔数据。,done,
287,isone_lmp_dart_5_min_final,DART spread in ISO-NE between day-ahead hourly LMPs and real-time 5-minute final LMPs. Hourly day-ahead values are brought to a 5-minute interval across the hour for the purposes of this dataset.,ISO-NE（新英格兰独立系统运营商）中日前小时级LMP（节点边际电价）与实时5分钟最终LMP之间的DART（日前与实时价差）价差。在本数据集中，小时日前电价数值在该小时内被转换为5分钟间隔数据。,done,
288,isone_lmp_dart_hourly_final,DART spread in ISO-NE between day-ahead hourly LMPs and real-time hourly final LMPs. Both day-ahead and real-time values are at hourly intervals.,ISO-NE（新英格兰独立系统运营商）中日前小时级LMP（节点边际电价）与实时小时级最终LMP之间的DART（日前与实时价差）价差。日前和实时值均为小时间隔。,done,
289,isone_lmp_dart_hourly_prelim,DART spread in ISO-NE between day-ahead hourly LMPs and real-time hourly preliminary LMPs. Both day-ahead and real-time values are at hourly intervals.,ISO-NE（新英格兰独立系统运营商）中日前小时级LMP（节点边际电价）与实时小时级初步LMP之间的DART（日前与实时价差）价差。日前和实时值均为小时间隔。,done,
290,isone_lmp_day_ahead_hourly,"Day Ahead Hourly LMPs as reported by ISO-NE. Includes all locations.

This dataset includes the location types:

- *DRRAZ*
- *NETWORK NODE*
- *EXT. NODE*
- *HUB*
- *LOAD ZONE*
- *HUB NODE*","ISO-NE（新英格兰独立系统运营商）报告的日前小时级节点边际电价（LMP）。包含所有位置。

该数据集包含的位置类型：

- DRRAZ
- 网络节点
- 外部节点
- 枢纽
- 负荷区
- 枢纽节点",done,
291,isone_lmp_real_time_5_min,"[DEPRECATED IN FAVOR OF THE [PRELIMINARY DATASET](https://www.gridstatus.io/datasets/isone_lmp_real_time_5_min_prelim)] 

Preliminary, real-time, 5-minute, LMPs as reported by ISO-NE. Includes all locations.

This dataset includes the location types:

- *DRRAZ*
- *NETWORK NODE*
- *EXT. NODE*
- *HUB*
- *LOAD ZONE*
- *HUB NODE*","[已被弃用，推荐使用初步数据集]

ISO-NE（新英格兰独立系统运营商）发布的初步、实时、5分钟间隔的LMP（节点边际电价）。包含所有位置。

该数据集包含以下位置类型：

- DRRAZ（需求响应资源聚集区）
- NETWORK NODE（网络节点）
- EXT. NODE（外部节点）
- HUB（枢纽）
- LOAD ZONE（负荷区）
- HUB NODE（枢纽节点）",done,
292,isone_lmp_real_time_5_min_final,"Final approved locational marginal prices (LMPs) for each five-minute interval of the operating day. LMPs are presented for the Hub, load zones, and network nodes.",针对运行日每个五分钟时间间隔的最终批准节点边际电价（LMP）。LMP按枢纽、负荷区和网络节点呈现。,done,
293,isone_lmp_real_time_5_min_prelim,"Preliminary locational marginal prices (LMPs) for each five-minute interval of the operating day. Current data are made available in approximate real-time. LMPs are presented for the Hub, load zones, and network nodes.

***Replaces ""ISONE LMP Real Time 5 Min""***","针对运行日每个五分钟时间间隔的初步节点边际电价（LMP）。当前数据以近似实时的方式提供。LMP按枢纽、负荷区和网络节点呈现。

取代“ISONE LMP实时5分钟”数据集",done,
294,isone_lmp_real_time_hourly_final,"Finalized locational marginal prices (LMPs) by hour for the Hub, load zones, and network nodes. Prices are broken into their various cost components: energy, congestion, and losses.",针对枢纽、负荷区和网络节点按小时最终确定的节点边际电价（LMP）。价格分解为各个成本分量：能量、阻塞和损耗。,done,
295,isone_lmp_real_time_hourly_prelim,"Preliminary locational marginal prices (LMPs) by hour for the Hub, load zones, and network nodes. Prices are published as soon as is practical after the operating hour has concluded and broken into their various cost components: energy, congestion, and losses. Current data are made available in approximate real-time.",针对枢纽、负荷区和网络节点按小时发布的初步节点边际电价（LMP）。价格在运行小时结束后尽快发布，并分解为各个成本分量：能量、阻塞和损耗。当前数据以近似实时的方式提供。,done,
296,isone_load,Load in 5 minute intervals as reported by ISO-NE.,ISO-NE（新英格兰独立系统运营商）报告的5分钟间隔负荷数据。,done,
297,isone_load_forecast,"Load Forecast in 5 minute intervals resampled
from hourly data as reported by ISO-NE.",基于ISO-NE（新英格兰独立系统运营商）报告的小时级数据重采样得到的5分钟间隔负荷预测。,done,
298,isone_load_forecast_hourly,Load Forecast in 1 hour intervals as reported by ISO-NE.,ISO-NE（新英格兰独立系统运营商）报告的1小时间隔负荷预测。,done,
299,isone_load_hourly,Total hourly ISO-NE systemwide demand in megawatt-hours. Data is made available for an hour approximately 6 minutes after the hour ends. ,ISO-NE（新英格兰独立系统运营商）系统范围的小时总需求，单位为兆瓦时。数据在小时结束后大约6分钟提供。,done,
300,isone_marginal_fuel_type,Per-fuel marginal flags from ISO-NE's fuel mix feed. Boolean columns indicate which fuel categories were marginal at that timestamp.,来自ISO-NE（新英格兰独立系统运营商）燃料结构数据源的按燃料划分的边际标志。布尔列指示在该时间戳下哪些燃料类别处于边际状态。,done,
301,isone_records,Top 10 daily records for various metrics in ISO-NE.,ISO-NE（新英格兰独立系统运营商）内各项指标的每日前十名记录。,done,
302,isone_records_timeseries,Timeline of new records for ISO-NE,ISO-NE（新英格兰独立系统运营商）新记录的时间线。,done,
303,isone_regulation_clearing_prices_real_time_5_min,Five-minute clearing prices for both regulation capacity and service in real-time in ISO-NE. ,ISO-NE（新英格兰独立系统运营商）实时市场中调频容量和调频服务的五分钟出清价格。,done,
304,isone_reliability_region_load_forecast,"Hourly Load Forecast for the ISO-NE Reliability Regions. 

Forecasts are currently published by the ISO for hourly intervals for each region simultaneously, roughly every half hour, with a roughly 3-day rolling horizon. Forecast publishing has increased over the last 7 years to its current rate, so older data may have fewer forecasts for each interval. The load column is in MW, and the regional percentage represents each location's share of overall demand in ISO-NE. 

The locations included are ISO-NE's Reliability Regions:
* .Z.MAINE
* .Z.NEWHAMPSHIRE
* .Z.VERMONT
* .Z.RHODEISLAND
* .Z.CONNECTICUT
* .Z.WCMASS
* .Z.SEMASS
 * .Z.NEMASSBOST

The three zones with ""MASS"" in the name represent regions within Massachusetts, the highest demand region within New England. Reliability Regions generally overlap with Load Zones in ISO-NE.","ISO-NE（新英格兰独立系统运营商）可靠性区域的小时级负荷预测。

目前，ISO大约每半小时同时发布所有区域的未来约3天滚动周期的小时级预测。预测发布频率在过去7年中逐步提高到当前水平，因此较旧的数据可能每个时间间隔的预测次数较少。负荷列单位为兆瓦，区域百分比表示每个位置在ISO-NE总需求中所占的份额。

所包含的位置是ISO-NE的可靠性区域：
* .Z.MAINE（缅因）
* .Z.NEWHAMPSHIRE（新罕布什尔）
* .Z.VERMONT（佛蒙特）
* .Z.RHODEISLAND（罗德岛）
* .Z.CONNECTICUT（康涅狄格）
* .Z.WCMASS（麻省西部）
* .Z.SEMASS（麻省东南部）
* .Z.NEMASSBOST（麻省东部/波士顿）

名称中包含“MASS”的三个区域代表马萨诸塞州内的分区，该州是新英格兰地区需求最高的区域。在ISO-NE中，可靠性区域通常与负荷区重叠。",done,
305,isone_reserve_requirements_prices_forecast_day_ahead,"Day-ahead reserve prices, requirements, and forecast from ISO-NE. This is hourly data for the system as a whole, reserve zone 7000.",ISO-NE（新英格兰独立系统运营商）的日前备用价格、要求和预测。这是针对整个系统（备用区域7000）的小时级数据。,done,
306,isone_reserve_zone_prices_designations_real_time_5_min,"Five-minute, real-time reserve prices, requirements, and designations by zone in ISO-NE. Includes 10-minute and 30-minute reserve requirements. Published in real-time every 5 minutes.",ISO-NE（新英格兰独立系统运营商）内按区域划分的实时五分钟备用价格、要求和指定。包含10分钟和30分钟的备用要求。实时数据每五分钟发布一次。,done,
307,isone_reserve_zone_prices_designations_real_time_5_min_final,"Final five-minute reserve prices, requirements, and designations by zone in ISO-NE. Includes 10-minute and 30-minute reserve requirements. Published and sometimes updated in the days following the operating day.",ISO-NE（新英格兰独立系统运营商）内按区域划分的最终五分钟备用价格、要求和指定。包含10分钟和30分钟的备用要求。在运行日之后的数天内发布，有时会进行更新。,done,
308,isone_reserve_zone_prices_designations_real_time_hourly_final,"Final hourly reserve prices, requirements, and designations by zone in ISO-NE. Includes 10-minute and 30-minute reserve requirements. Generally published the day following the operating day although sometimes delayed.",ISO-NE（新英格兰独立系统运营商）内按区域划分的最终小时级备用价格、要求和指定。包含10分钟和30分钟的备用要求。通常在运行日的次日发布，但有时会延迟。,done,
309,isone_reserve_zone_prices_designations_real_time_hourly_prelim,"Preliminary hourly reserve prices, requirements, and designations by zone in ISO-NE. Includes 10-minute and 30-minute reserve requirements. Published in real-time during the course of the operating day.",ISO-NE（新英格兰独立系统运营商）内按区域划分的初步小时级备用价格、要求和指定。包含10分钟和30分钟的备用要求。在运行日期间实时发布。,done,
310,isone_solar_forecast_hourly,"Solar Forecast for next 7 days in 1 hour intervals as reported by ISO-NE.

Updated each day at 10:00 AM ET.","ISO-NE（新英格兰独立系统运营商）报告的未来7天太阳能预测，数据间隔为1小时。

每天美国东部时间上午10:00更新。",done,
311,isone_standardized_5_min,"This table is a curated set of five-minute data for ISO-NE. All standardized datasets are intended to speed up analysis and feature engineering work by providing commonly used data series in one denormalized table. 

The standardized datasets are a convenience for API users who only want to query one dataset for each ISO. If you plan on loading in every dataset or want to work with multiple series alone or together it is recommended to pull the individual datasets to have full visibility into each one.

⚠️ Not all data series are present for the entire length of the dataset. This can occur due to a lack of historical data or the publication of new core datasets by an ISO.","此表格是ISO-NE（新英格兰独立系统运营商）经过精选的五分钟数据集合。所有标准化数据集旨在通过在一个非规范化表中提供常用的数据系列，来加速分析和特征工程工作。

标准化数据集是为API用户提供的便利，方便他们只需查询每个ISO的一个数据集即可。如果您计划加载所有数据集，或希望单独或组合使用多个数据系列，建议拉取各个独立的数据集，以便完全了解每个数据集的详情。

⚠️ 并非所有数据系列在整个数据集的时间范围内都存在。这可能是由于历史数据缺失或ISO发布了新的核心数据集所致。",done,
312,isone_standardized_hourly,"This table is a curated set of hourly data for ISO-NE. All standardized datasets are intended to speed up analysis and feature engineering work by providing commonly used data series in one denormalized table. Data in this feed is resampled to an hourly frequency from five minutes.

The standardized datasets are a convenience for API users who only want to query one dataset for each ISO. If you plan on loading in every dataset or want to work with multiple series alone or together it is recommended to pull the individual datasets to have full visibility into each one.

⚠️ Not all data series are present for the entire length of the dataset. This can occur due to a lack of historical data or the publication of new core datasets by an ISO.","此表格是ISO-NE（新英格兰独立系统运营商）经过精选的小时级数据集合。所有标准化数据集旨在通过在一个非规范化表中提供常用的数据系列，来加速分析和特征工程工作。此数据源中的数据是从五分钟频率重采样为小时频率。

标准化数据集是为API用户提供的便利，方便他们只需查询每个ISO的一个数据集即可。如果您计划加载所有数据集，或希望单独或组合使用多个数据系列，建议拉取各个独立的数据集，以便完全了解每个数据集的详情。

⚠️ 并非所有数据系列在整个数据集的时间范围内都存在。这可能是由于历史数据缺失或ISO发布了新的核心数据集所致。",done,
313,isone_total_demand_5_min,"Five-minute load data from ISO-NE, including load without BTM solar and including resource charging and pumping. The dataset includes 5 columns with different load levels.                  

- Total Load- System load net of behind-the-meter (BTM) solar, including energy storage charging
- Native Load- ISO-NE’s reported load figure, which excludes both BTM solar generation and energy storage charging (the value shown in isone_load)
- Storage load- Estimated charging demand from battery energy storage systems (BESS) and pumped hydro facilities
- Total Load with Estimated Solar- Gross electric consumption including BTM solar generation and energy storage charging (represents total electricity demand before any BTM solar offset)
- Native Load with Estimated Solar-  ISO-NE's reported load plus estimated BTM solar generation, excluding energy storage charging","来自ISO-NE（新英格兰独立系统运营商）的五分钟负荷数据，包含扣除表后（BTM）太阳能后的负荷，并包括资源充电和抽水负荷。该数据集包含5个不同负荷水平的列。

- 总负荷：扣除表后太阳能后的系统负荷，包含储能充电。
- 原始负荷：ISO-NE报告的负荷数据，该数据排除了表后太阳能发电和储能充电（即 isone_load 中显示的值）。
- 储能负荷：来自电池储能系统和抽水蓄能设施的估计充电需求。
- 含估计太阳的总负荷：包含表后太阳能发电和储能充电的总电力消耗（代表在扣除任何表后太阳能之前的电力总需求）。
- 含估计太阳的原始负荷：ISO-NE报告的负荷加上估计的表后太阳能发电量，不包括储能充电。",done,
314,isone_wind_forecast_hourly,"Wind Forecast for next 7 days in 1 hour intervals as reported by ISO-NE.

Updated each day at 10:00 AM ET.","ISO-NE（新英格兰独立系统运营商）报告的未来7天风电预测，数据间隔为1小时。

每天美国东部时间上午10:00更新。",done,
315,isone_zonal_load_estimated_5_min,Estimated five minute zonal load and BTM solar generation across all 8 of ISO-NE’s forecast zones. ,跨越ISO-NE（新英格兰独立系统运营商）所有8个预测区域的估计五分钟区域负荷和表后（BTM）太阳能发电量。,done,
316,isone_zonal_load_real_time_hourly,"Actual Hourly Demand by load zone, published by the ISO.


As exact hourly demand requires some settlement processes by the ISO, this data is typically 3-5 days delayed from the current time. Demand is given in MW.","ISO（新英格兰独立系统运营商）发布的按负荷区划分的实际小时需求。

由于精确的小时需求需要ISO执行一些结算流程，此数据通常比当前时间延迟3-5天。需求单位为兆瓦。",done,
318,miso_as_mcp_day_ahead_ex_ante,Hourly marginal clearing prices (MCPs) for ancillary services in MISO from the day-ahead market. These are the Ex Ante prices.,MISO（中部独立系统运营商）日前市场中辅助服务的小时级边际出清价格（MCPs）。这些是事前价格。,done,
319,miso_as_mcp_day_ahead_ex_post,Hourly marginal clearing prices (MCPs) for ancillary services in MISO from the day-ahead market. These are the Ex Post prices.,MISO（中部独立系统运营商）日前市场中辅助服务的小时级边际出清价格（MCPs）。这些是事后价格。,done,
320,miso_as_mcp_real_time_5_min_ex_ante,"Five-minute, real-time marginal clearing prices (MCPs) for ancillary services in MISO. These are the Ex Ante prices.",MISO（中部独立系统运营商）中辅助服务的五分钟实时边际出清价格（MCPs）。这些是事前价格。,done,
321,miso_as_mcp_real_time_5_min_ex_post_final,"Five-minute, real-time marginal clearing prices (MCPs) for ancillary services in MISO. These are the Ex Post final prices.",MISO（中部独立系统运营商）中辅助服务的五分钟实时边际出清价格（MCPs）。这些是事后最终价格。,done,
322,miso_as_mcp_real_time_5_min_ex_post_prelim,"Five-minute, real-time marginal clearing prices (MCPs) for ancillary services in MISO. These are the Ex Post preliminary prices.",MISO（中部独立系统运营商）中辅助服务的五分钟实时边际出清价格（MCPs）。这些是事后初步价格。,done,
323,miso_as_mcp_real_time_hourly_ex_post_final,"Hourly, real-time marginal clearing prices (MCPs) for ancillary services in MISO. These are the Ex Post final prices.",MISO（中部独立系统运营商）中辅助服务的小时级实时边际出清价格（MCPs）。这些是事后最终价格。,done,
324,miso_as_mcp_real_time_hourly_ex_post_prelim,"Hourly, real-time marginal clearing prices (MCPs) for ancillary services in MISO. These are the Ex Post preliminary prices. ",MISO（中部独立系统运营商）中辅助服务的小时级实时边际出清价格（MCPs）。这些是事后初步价格。,done,
325,miso_binding_constraint_overrides_real_time_5_min,"Real-time, five-minute, overrides for binding constraints in MISO. ",MISO（中部独立系统运营商）中绑定约束的实时五分钟覆盖数据。,done,
326,miso_binding_constraints_day_ahead_hourly,"Day-ahead, hourly, binding constraints in MISO. 

Constraints are limited elements of the transmission system, when binding power flow is limited between locations by the constraint. Managing these may require generators to be dispatched out of the merit order.","MISO（中部独立系统运营商）中的日前小时级绑定约束。

约束是输电系统的限制元件，当位置之间的潮流受约束限制时，即为绑定约束。管理这些约束可能要求发电机不按经济顺序调度。",done,
327,miso_binding_constraints_real_time_5_min,"Real-time, five-minute, binding constraints in MISO. 

Constraints are limited elements of the transmission system, when binding power flow is limited between locations by the constraint. Managing these may require generators to be dispatched out of the merit order.

This data is made available on the day after the operating day which it covers.","MISO（中部独立系统运营商）中的实时五分钟绑定约束。

约束是输电系统的限制元件，当位置之间的潮流受约束限制时，即为绑定约束。管理这些约束可能要求发电机不按经济顺序调度。

此数据在覆盖的运行日之后的下一天提供。",done,
328,miso_binding_constraints_real_time_intraday,"Active, binding, real-time constraint data from MISO. This dataset should only be used during the current day, for more complete real-time constraint information use [MISO Binding Constraints Real Time 5 Min](https://www.gridstatus.io/datasets/miso_binding_constraints_real_time_5_min), which contains additional information and is published the day following the operating day.",来自MISO（中部独立系统运营商）的活跃、绑定、实时约束数据。此数据集仅供在当前日内使用，如需更完整的实时约束信息，请使用 MISO 实时五分钟绑定约束，后者包含更多信息，并在运行日次日发布。,done,
329,miso_fuel_mix,Fuel Mix in 5 minute intervals as reported by MISO.,MISO（中部独立系统运营商）报告的5分钟间隔燃料结构数据。,done,
330,miso_generation_outages_estimated,"This dataset contains daily 30-day lookback data from MISO on generator outags. Each day, MISO publishes their current estimated outage data for the previous 30 days. This data may update throughout the 30-day lookback, so for the last published value for a partiuclar day use the maximum publish date.

Outage data in this dataset is available by the region and type of outage and represents MISO's forecast of outages for the peak hour in a given day. MISO derives outage data from information filed with the Control Room Operations Window (CROW) system.

The regions are:
* North
* Central
* South
* MISO

The outage types included are:
* Forced
* Derate
* Planned
* Unplanned


This dataset is derived from MISO's *Multiday Operating Margin Forecast Report*. ","该数据集包含MISO（中部独立系统运营商）关于发电机停运的每日30天回溯数据。MISO每天发布其过去30天的当前估计停运数据。此数据可能在30天回溯期内更新，因此要获取特定日期的最后发布值，请使用最大发布日期。

此数据集中的停运数据可按区域和停运类型获取，代表MISO对给定日期高峰时段的停运预测。MISO从提交至控制室操作窗口（CROW）系统的信息中推导出停运数据。

区域包括：
* 北部
* 中部
* 南部
* MISO整体

包含的停运类型有：
* 强制
* 降额
* 计划
* 非计划

该数据集源自MISO的 多日运行裕度预测报告。",done,
331,miso_generation_outages_forecast,"This dataset contains daily week-ahead data and forecasts from MISO on generator outags. Outage data in this dataset is available by the region and type of outage and represents MISO's forecast of outages for the peak hour in a given day. MISO derives outage data from information filed with the Control Room Operations Window (CROW) system.

The regions are:
* North
* Central
* South
* MISO

The outage types included are:
* Forced
* Derate
* Planned
* Unplanned


This dataset is derived from MISO's *Multiday Operating Margin Forecast Report*. ","该数据集包含MISO（中部独立系统运营商）关于发电机停运的每日未来一周数据和预测。此数据集中的停运数据可按区域和停运类型获取，代表MISO对给定日期高峰时段的停运预测。MISO从提交至控制室操作窗口（CROW）系统的信息中推导出停运数据。

区域包括：
* 北部
* 中部
* 南部
* MISO整体

包含的停运类型有：
* 强制
* 降额
* 计划
* 非计划

该数据集源自MISO的 多日运行裕度预测报告。",done,
